parse_run_id	table_name	column_position	raw_column_name	alternate_column_name	cde_id_raw
20260412T010932Z	clinical_follow_up_v1_5	44	er_status_by_ihc	breast_carcinoma_estrogen_receptor_status	CDE_ID:2957359
20260412T010932Z	clinical_follow_up_v1_5	45	er_status_ihc_Percent_Positive	er_level_cell_percentage_category	CDE_ID:3128341
20260412T010932Z	clinical_follow_up_v1_5	46	her2_and_cent17_cells_count	her2_neu_and_centromere_17_copy_number_analysis_input_total_number_count	CDE_ID:3087902
20260412T010932Z	clinical_follow_up_v1_5	47	her2_and_cent17_scale_other	her2_and_centromere_17_positive_finding_other_measurement_scale_text	CDE_ID:3087923
20260412T010932Z	clinical_follow_up_v1_5	48	her2_cent17_ratio	her2_neu_chromosone_17_signal_ratio_value	CDE_ID:2497552
20260412T010932Z	clinical_follow_up_v1_5	49	her2_copy_number	her2_neu_breast_carcinoma_copy_analysis_input_total_number	CDE_ID:3133738
20260412T010932Z	clinical_follow_up_v1_5	50	her2_fish_method	her2_erbb_pos_finding_fluorescence_in_situ_hybridization_calculation_method_text	CDE_ID:3087929
20260412T010932Z	clinical_follow_up_v1_5	51	her2_fish_status	lab_procedure_her2_neu_in_situ_hybrid_outcome_type	CDE_ID:2854089
20260412T010932Z	clinical_follow_up_v1_5	52	her2_ihc_percent_positive	her2_erbb_pos_finding_cell_percent_category	CDE_ID:3086980
20260412T010932Z	clinical_follow_up_v1_5	53	her2_ihc_score	her2_immunohistochemistry_level_result	CDE_ID:2178402
20260412T010932Z	clinical_follow_up_v1_5	54	her2_positivity_method_text	her2_erbb_method_calculation_method_text	CDE_ID:3087487
20260412T010932Z	clinical_follow_up_v1_5	55	her2_positivity_scale_other	pos_finding_her2_erbb2_other_measurement_scale_text	CDE_ID:3087479
20260412T010932Z	clinical_follow_up_v1_5	56	her2_status_by_ihc	lab_proc_her2_neu_immunohistochemistry_receptor_status	CDE_ID:2957563
20260412T010932Z	clinical_follow_up_v1_5	57	new_tumor_event_surgery	additional_surgery_locoregional_procedure	CDE_ID:3008755
20260412T010932Z	clinical_follow_up_v1_5	58	new_tumor_event_surgery_met	additional_surgery_metastatic_procedure	CDE_ID:3008757
20260412T010932Z	clinical_follow_up_v1_5	59	pr_positivity_define_method	pgr_detection_method_text	CDE_ID:785
20260412T010932Z	clinical_follow_up_v1_5	60	pr_positivity_ihc_intensity_score	breast_carcinoma_immunohistochemistry_pos_cell_score	CDE_ID:3133874
20260412T010932Z	clinical_follow_up_v1_5	61	pr_positivity_scale_other	pos_finding_progesterone_receptor_other_measurement_scale_text	CDE_ID:3086857
20260412T010932Z	clinical_follow_up_v1_5	62	pr_status_by_ihc	breast_carcinoma_progesterone_receptor_status	CDE_ID:2957357
20260412T010932Z	clinical_follow_up_v1_5	63	pr_status_ihc_percent_positive	progesterone_receptor_level_cell_percent_category	CDE_ID:3128342
