crosswalk_run_id	shortlist_run_id	core_audit_run_id	parse_run_id	source_run_id	endpoint_signal_family	field_count	tables_present_json	primary_candidates_json	secondary_candidates_json	overlapping_candidates_json	ambiguous_candidates_json	notes_placeholder
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	survival_status_like	2	"[""clinical_follow_up_v4_0"", ""clinical_patient""]"	"[""clinical_patient.vital_status""]"	[]	"[""clinical_follow_up_v4_0.vital_status""]"	[]	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	last_contact_like	2	"[""clinical_follow_up_v4_0"", ""clinical_patient""]"	"[""clinical_follow_up_v4_0.last_contact_days_to""]"	[]	"[""clinical_patient.last_contact_days_to""]"	[]	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	death_time_like	2	"[""clinical_follow_up_v4_0"", ""clinical_patient""]"	[]	[]	[]	"[""clinical_follow_up_v4_0.death_days_to"", ""clinical_patient.death_days_to""]"	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	progression_or_tumor_status_like	4	"[""clinical_follow_up_v4_0"", ""clinical_patient""]"	"[""clinical_follow_up_v4_0.tumor_status""]"	[]	"[""clinical_patient.tumor_status""]"	"[""clinical_patient.days_to_patient_progression_free"", ""clinical_patient.days_to_tumor_progression""]"	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	new_tumor_event_like	2	"[""clinical_follow_up_v4_0"", ""clinical_patient""]"	"[""clinical_follow_up_v4_0.new_tumor_event_dx_indicator""]"	[]	"[""clinical_patient.new_tumor_event_dx_indicator""]"	[]	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	followup_loss_like	1	"[""clinical_follow_up_v4_0""]"	"[""clinical_follow_up_v4_0.followup_lost_to""]"	[]	[]	[]	[fill in during endpoint crosswalk review]
