crosswalk_run_id	shortlist_run_id	core_audit_run_id	parse_run_id	source_run_id	endpoint_signal_family	endpoint_signal_type	endpoint_signal_rule	canonical_signal_key	table_name	field_name	source_position	alternate_column_name	candidate_source	original_shortlist_bucket	original_shortlist_rule	selection_rule	missing_like_fraction	non_missing_count	distinct_non_missing_count	example_values_small_sample	crosswalk_role	crosswalk_rule	manual_review_priority	notes_placeholder
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	survival_status_like	survival_status_signal	signal_vital_status_name	vital_status	clinical_patient	vital_status	14	vital_status	usable_endpoint_candidate	usable_endpoint_candidate	endpoint_candidate_time_or_status_signal	select_usable_endpoint_candidate	0.0	1097	2	"[""Alive"", ""Dead""]"	primary_candidate	role_primary_best_usable_completeness	medium	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	survival_status_like	survival_status_signal	signal_vital_status_name	vital_status	clinical_follow_up_v4_0	vital_status	10	vital_status	usable_endpoint_candidate	usable_endpoint_candidate	endpoint_candidate_time_or_status_signal	select_usable_endpoint_candidate	0.013966	706	2	"[""Alive"", ""Dead""]"	overlapping_candidate	role_overlapping_same_canonical_signal	high	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	last_contact_like	last_contact_time_signal	signal_last_contact_name	last_contact_days_to	clinical_follow_up_v4_0	last_contact_days_to	11	days_to_last_followup	usable_endpoint_candidate	usable_endpoint_candidate	endpoint_candidate_time_or_status_signal	select_usable_endpoint_candidate	0.086592	654	551	"[""10"", ""0"", ""375"", ""396"", ""304""]"	primary_candidate	role_primary_best_usable_completeness	medium	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	last_contact_like	last_contact_time_signal	signal_last_contact_name	last_contact_days_to	clinical_patient	last_contact_days_to	15	days_to_last_followup	usable_endpoint_candidate	usable_endpoint_candidate	endpoint_candidate_time_or_status_signal	select_usable_endpoint_candidate	0.094804	993	649	"[""0"", ""10"", ""7"", ""365"", ""30""]"	overlapping_candidate	role_overlapping_same_canonical_signal	high	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	death_time_like	death_time_signal	signal_death_days_to_name	death_days_to	clinical_patient	death_days_to	16	days_to_death	escalated_manual_review	weak_or_unusable	weak_extreme_missingness	escalate_weak_endpoint_like	0.905196	104	101	"[""2965"", ""991"", ""0"", ""1"", ""1009""]"	ambiguous_candidate	role_ambiguous_no_usable_primary_or_sparse_signal	high	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	death_time_like	death_time_signal	signal_death_days_to_name	death_days_to	clinical_follow_up_v4_0	death_days_to	12	days_to_death	escalated_manual_review	weak_or_unusable	weak_extreme_missingness	escalate_weak_endpoint_like	0.927374	52	52	"[""0"", ""1034"", ""1048"", ""1072"", ""1093""]"	ambiguous_candidate	role_ambiguous_no_usable_primary_or_sparse_signal	high	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	progression_or_tumor_status_like	tumor_status_signal	signal_tumor_status_name	tumor_status	clinical_follow_up_v4_0	tumor_status	9	person_neoplasm_cancer_status	usable_endpoint_candidate	usable_endpoint_candidate	endpoint_candidate_time_or_status_signal	select_usable_endpoint_candidate	0.054469	677	2	"[""TUMOR FREE"", ""WITH TUMOR""]"	primary_candidate	role_primary_best_usable_completeness	medium	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	progression_or_tumor_status_like	tumor_status_signal	signal_tumor_status_name	tumor_status	clinical_patient	tumor_status	13	person_neoplasm_cancer_status	usable_endpoint_candidate	usable_endpoint_candidate	endpoint_candidate_time_or_status_signal	select_usable_endpoint_candidate	0.113947	972	2	"[""TUMOR FREE"", ""WITH TUMOR""]"	overlapping_candidate	role_overlapping_same_canonical_signal	high	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	progression_or_tumor_status_like	progression_time_signal	signal_progression_name	days_to_patient_progression_free	clinical_patient	days_to_patient_progression_free	97	days_to_patient_progression_free	escalated_manual_review	weak_or_unusable	weak_all_missing	escalate_weak_endpoint_like	1.0	0	0	[]	ambiguous_candidate	role_ambiguous_no_usable_primary_or_sparse_signal	high	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	progression_or_tumor_status_like	progression_time_signal	signal_progression_name	days_to_tumor_progression	clinical_patient	days_to_tumor_progression	98	days_to_tumor_progression	escalated_manual_review	weak_or_unusable	weak_all_missing	escalate_weak_endpoint_like	1.0	0	0	[]	ambiguous_candidate	role_ambiguous_no_usable_primary_or_sparse_signal	high	[fill in during endpoint crosswalk review]
