audit_run_id	parse_run_id	source_run_id	table_name	probable_field_group	field_count	field_fraction_of_table	non_missing_any_field_count	high_missingness_field_count	field_names_json
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	follow-up / outcome-like	1	0.035714	1	0	"[""treatment_best_response""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	identifier / admin	5	0.178571	5	0	"[""bcr_patient_uuid"", ""bcr_patient_barcode"", ""bcr_drug_barcode"", ""bcr_drug_uuid"", ""form_completion_date""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	other / unclear	0	0.0	0	0	[]
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_radiation	demographics	0	0.0	0	0	[]
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_radiation	diagnosis / pathology	0	0.0	0	0	[]
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_radiation	stage	0	0.0	0	0	[]
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_radiation	receptor / biomarker	0	0.0	0	0	[]
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_radiation	treatment / drug	2	0.111111	1	1	"[""therapy_regimen"", ""therapy_regimen_other""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_radiation	radiation	10	0.555556	10	1	"[""radiation_therapy_type"", ""radiation_therapy_site"", ""radiation_total_dose"", ""radiation_adjuvant_units"", ""radiation_adjuvant_fractions_total"", ""radiation_therapy_started_days_to"", ""radiation_therapy_ongoing_indicator"", ""radiation_therapy_ended_days_to"", ""course_number"", ""radiation_type_other""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_radiation	follow-up / outcome-like	1	0.055556	1	0	"[""treatment_best_response""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_radiation	identifier / admin	5	0.277778	5	0	"[""bcr_patient_uuid"", ""bcr_patient_barcode"", ""bcr_radiation_barcode"", ""bcr_radiation_uuid"", ""form_completion_date""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_radiation	other / unclear	0	0.0	0	0	[]
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	demographics	0	0.0	0	0	[]
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	diagnosis / pathology	0	0.0	0	0	[]
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	stage	0	0.0	0	0	[]
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	receptor / biomarker	0	0.0	0	0	[]
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	treatment / drug	1	0.076923	1	0	"[""pharmaceutical_tx_adjuvant""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	radiation	1	0.076923	1	0	"[""radiation_treatment_adjuvant""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	follow-up / outcome-like	6	0.461538	6	1	"[""followup_lost_to"", ""tumor_status"", ""vital_status"", ""last_contact_days_to"", ""death_days_to"", ""new_tumor_event_dx_indicator""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	identifier / admin	5	0.384615	5	0	"[""bcr_patient_uuid"", ""bcr_patient_barcode"", ""bcr_followup_barcode"", ""bcr_followup_uuid"", ""form_completion_date""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	other / unclear	0	0.0	0	0	[]
