audit_run_id	parse_run_id	source_run_id	table_name	field_name	source_position	alternate_column_name	cde_id_raw	row_count	non_missing_count	missing_like_count	missing_like_fraction	distinct_non_missing_count	example_values_small_sample	probable_field_group	group_assignment_rule	blank_count	not_available_count	not_applicable_count	unknown_count	not_evaluated_count	discrepancy_count	na_count	n_a_count	null_count	none_count	nan_count
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	pharma_type_other	17	therapy_type_notes	CDE_ID:2001762	2406	22	2384	0.990856	11	"[""Bisphosphonate"", ""Phase III Clinical Trial"", ""Bisphosphonate therapy"", ""BISPHOSPHONATE"", ""clinical trial - bisphosphonates as adjuvant therapy""]"	treatment / drug	keyword:pharm	0	2384	0	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	pharmaceutical_tx_dose_units	18	prescribed_dose_units	CDE_ID:3065815	2406	1141	1265	0.525769	11	"[""mg"", ""mg/day"", ""mg/m2"", ""mg/kg"", ""mg/m2/day""]"	treatment / drug	keyword:pharm	0	1265	0	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	pharmaceutical_tx_total_dose_units	19	total_dose_units	CDE_ID:3088785	2406	851	1555	0.646301	8	"[""mg"", ""mg/day"", ""mg/m2"", ""ug"", ""mg/wk""]"	treatment / drug	keyword:pharm	0	1555	0	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	prescribed_dose	20	prescribed_dose	CDE_ID:2184728	2406	1128	1278	0.531172	324	"[""1"", ""20"", ""600"", ""60"", ""175""]"	treatment / drug	keyword:dose	0	1278	0	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	regimen_number	21	regimen_number	CDE_ID:2744948	2406	1140	1266	0.526185	37	"[""1"", ""2"", ""3"", ""4"", ""5""]"	treatment / drug	keyword:regimen	0	1265	0	1	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	route_of_administration	22	route_of_administration	CDE_ID:2003586	2406	1243	1163	0.483375	6	"[""IV"", ""PO"", ""IM"", ""SC"", ""IM|IV""]"	treatment / drug	keyword:route_of_administration	0	1163	0	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	stem_cell_transplantation	23	stem_cell_transplantation	CDE_ID:3090688	2406	0	2406	1.0	0	[]	treatment / drug	keyword:stem_cell	0	2406	0	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	stem_cell_transplantation_type	24	stem_cell_transplantation_type	CDE_ID:2730901	2406	0	2406	1.0	0	[]	treatment / drug	keyword:stem_cell	0	2406	0	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	therapy_regimen	25	regimen_indication	CDE_ID:2793511	2406	1316	1090	0.453034	5	"[""ADJUVANT"", ""RECURRENCE"", ""PROGRESSION"", ""OTHER, SPECIFY IN NOTES"", ""PALLIATIVE""]"	treatment / drug	keyword:therapy	0	1090	0	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	therapy_regimen_other	26	regimen_indication_notes	CDE_ID:2793516	2406	13	2393	0.994597	10	"[""Cancer Vaccine Trial"", ""Estrogen receptor antagonist in metastatic breast cancer"", ""Given to induce menopause"", ""Maintenance (for osteopenia)"", ""Maintenance therapy""]"	treatment / drug	keyword:therapy	0	0	2393	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	total_dose	27	total_dose	CDE_ID:1515	2406	777	1629	0.677057	467	"[""1"", ""20"", ""3600"", ""480"", ""4800""]"	treatment / drug	keyword:dose	0	1629	0	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	tx_on_clinical_trial	28	tx_on_clinical_trial	CDE_ID:3925111	2406	1085	1321	0.549044	2	"[""NO"", ""YES""]"	stage	keyword:clinical_t	0	1321	0	0	0	0	0	0	0	0	0
