shortlist_run_id	core_audit_run_id	parse_run_id	source_run_id	table_name	field_name	source_position	alternate_column_name	probable_field_group	missing_like_fraction	non_missing_count	distinct_non_missing_count	example_values_small_sample	support_high_completeness	support_high_missingness	support_likely_high_value	support_likely_weak	shortlist_bucket	shortlist_rule	manual_review_priority	notes_placeholder
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	pharma_type_other	17	therapy_type_notes	treatment / drug	0.990856	22	11	"[""Bisphosphonate"", ""Phase III Clinical Trial"", ""Bisphosphonate therapy"", ""BISPHOSPHONATE"", ""clinical trial - bisphosphonates as adjuvant therapy""]"	False	True	False	True	weak_or_unusable	weak_extreme_missingness	low	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	pharmaceutical_tx_dose_units	18	prescribed_dose_units	treatment / drug	0.525769	1141	11	"[""mg"", ""mg/day"", ""mg/m2"", ""mg/kg"", ""mg/m2/day""]"	False	False	False	False	unclear_manual_review	manual_default_fallback	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	pharmaceutical_tx_total_dose_units	19	total_dose_units	treatment / drug	0.646301	851	8	"[""mg"", ""mg/day"", ""mg/m2"", ""ug"", ""mg/wk""]"	False	False	False	False	unclear_manual_review	manual_default_fallback	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	prescribed_dose	20	prescribed_dose	treatment / drug	0.531172	1128	324	"[""1"", ""20"", ""600"", ""60"", ""175""]"	False	False	False	False	unclear_manual_review	manual_default_fallback	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	regimen_number	21	regimen_number	treatment / drug	0.526185	1140	37	"[""1"", ""2"", ""3"", ""4"", ""5""]"	False	False	False	False	unclear_manual_review	manual_default_fallback	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	route_of_administration	22	route_of_administration	treatment / drug	0.483375	1243	6	"[""IV"", ""PO"", ""IM"", ""SC"", ""IM|IV""]"	False	False	False	False	unclear_manual_review	manual_default_fallback	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	stem_cell_transplantation	23	stem_cell_transplantation	treatment / drug	1.0	0	0	[]	False	True	False	True	weak_or_unusable	weak_all_missing	low	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	stem_cell_transplantation_type	24	stem_cell_transplantation_type	treatment / drug	1.0	0	0	[]	False	True	False	True	weak_or_unusable	weak_all_missing	low	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	therapy_regimen	25	regimen_indication	treatment / drug	0.453034	1316	5	"[""ADJUVANT"", ""RECURRENCE"", ""PROGRESSION"", ""OTHER, SPECIFY IN NOTES"", ""PALLIATIVE""]"	False	False	False	False	unclear_manual_review	manual_default_fallback	high	[fill in during shortlist review]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	therapy_regimen_other	26	regimen_indication_notes	treatment / drug	0.994597	13	10	"[""Cancer Vaccine Trial"", ""Estrogen receptor antagonist in metastatic breast cancer"", ""Given to induce menopause"", ""Maintenance (for osteopenia)"", ""Maintenance therapy""]"	False	True	False	True	weak_or_unusable	weak_extreme_missingness	low	[fill in during shortlist review]
