drug_class_profile_v1_run_id	review_group_type	field_name	value_summary_type	group_patient_count	non_missing_count	missing_like_count	distinct_non_missing_count	value_rank	value_label	value_count	value_fraction	numeric_min	numeric_median	numeric_max	notes
20260415T065150Z	any_class_anthracycline	histological_type	categorical_top_value	383	383	0	7	2	Infiltrating Lobular Carcinoma	63	0.1645				
20260415T065150Z	any_class_anthracycline	histological_type	categorical_top_value	383	383	0	7	3	Mixed Histology (please specify)	17	0.0444				
20260415T065150Z	any_class_anthracycline	histological_type	categorical_top_value	383	383	0	7	4	Other, specify	9	0.0235				
20260415T065150Z	any_class_anthracycline	histological_type	categorical_top_value	383	383	0	7	5	Metaplastic Carcinoma	4	0.0104				
20260415T065150Z	any_class_anthracycline	histological_type	categorical_top_value	383	383	0	7	6	Infiltrating Carcinoma NOS	1	0.0026				
20260415T065150Z	any_class_anthracycline	histological_type	categorical_top_value	383	383	0	7	7	Medullary Carcinoma	1	0.0026				
20260415T065150Z	any_class_taxane	age_at_diagnosis	numeric_summary	402	402	0	50					26	52	84	
20260415T065150Z	any_class_taxane	er_status_by_ihc	categorical_top_value	402	401	1	2	1	Positive	286	0.7132				
20260415T065150Z	any_class_taxane	er_status_by_ihc	categorical_top_value	402	401	1	2	2	Negative	115	0.2868				
20260415T065150Z	any_class_taxane	pr_status_by_ihc	categorical_top_value	402	401	1	2	1	Positive	246	0.6135				
20260415T065150Z	any_class_taxane	pr_status_by_ihc	categorical_top_value	402	401	1	2	2	Negative	155	0.3865				
20260415T065150Z	any_class_taxane	her2_status_by_ihc	categorical_top_value	402	367	35	4	1	Negative	226	0.6158				
20260415T065150Z	any_class_taxane	her2_status_by_ihc	categorical_top_value	402	367	35	4	2	Equivocal	84	0.2289				
20260415T065150Z	any_class_taxane	her2_status_by_ihc	categorical_top_value	402	367	35	4	3	Positive	54	0.1471				
20260415T065150Z	any_class_taxane	her2_status_by_ihc	categorical_top_value	402	367	35	4	4	Indeterminate	3	0.0082				
20260415T065150Z	any_class_taxane	ajcc_pathologic_tumor_stage	categorical_top_value	402	399	3	12	1	Stage IIA	122	0.3058				
20260415T065150Z	any_class_taxane	ajcc_pathologic_tumor_stage	categorical_top_value	402	399	3	12	2	Stage IIB	108	0.2707				
20260415T065150Z	any_class_taxane	ajcc_pathologic_tumor_stage	categorical_top_value	402	399	3	12	3	Stage IIIA	74	0.1855				
20260415T065150Z	any_class_taxane	ajcc_pathologic_tumor_stage	categorical_top_value	402	399	3	12	4	Stage IIIC	37	0.0927				
20260415T065150Z	any_class_taxane	ajcc_pathologic_tumor_stage	categorical_top_value	402	399	3	12	5	Stage IA	22	0.0551				
20260415T065150Z	any_class_taxane	ajcc_pathologic_tumor_stage	categorical_top_value	402	399	3	12	6	Stage I	21	0.0526				
20260415T065150Z	any_class_taxane	ajcc_pathologic_tumor_stage	categorical_top_value	402	399	3	12	7	Stage IV	4	0.0100				
20260415T065150Z	any_class_taxane	ajcc_pathologic_tumor_stage	categorical_top_value	402	399	3	12	8	Stage IIIB	4	0.0100				
20260415T065150Z	any_class_taxane	ajcc_pathologic_tumor_stage	categorical_top_value	402	399	3	12	9	Stage IB	2	0.0050				
20260415T065150Z	any_class_taxane	ajcc_pathologic_tumor_stage	categorical_top_value	402	399	3	12	10	Stage III	2	0.0050				
20260415T065150Z	any_class_taxane	histological_type	categorical_top_value	402	402	0	8	1	Infiltrating Ductal Carcinoma	300	0.7463				
20260415T065150Z	any_class_taxane	histological_type	categorical_top_value	402	402	0	8	2	Infiltrating Lobular Carcinoma	76	0.1891				
20260415T065150Z	any_class_taxane	histological_type	categorical_top_value	402	402	0	8	3	Other, specify	14	0.0348				
20260415T065150Z	any_class_taxane	histological_type	categorical_top_value	402	402	0	8	4	Mixed Histology (please specify)	6	0.0149				
20260415T065150Z	any_class_taxane	histological_type	categorical_top_value	402	402	0	8	5	Mucinous Carcinoma	2	0.0050				
20260415T065150Z	any_class_taxane	histological_type	categorical_top_value	402	402	0	8	6	Medullary Carcinoma	2	0.0050				
20260415T065150Z	any_class_taxane	histological_type	categorical_top_value	402	402	0	8	7	Infiltrating Carcinoma NOS	1	0.0025				
20260415T065150Z	any_class_taxane	histological_type	categorical_top_value	402	402	0	8	8	Metaplastic Carcinoma	1	0.0025				
20260415T065150Z	any_class_platinum	age_at_diagnosis	numeric_summary	31	31	0	21					35	56	76	
20260415T065150Z	any_class_platinum	er_status_by_ihc	categorical_top_value	31	31	0	2	1	Positive	20	0.6452				
20260415T065150Z	any_class_platinum	er_status_by_ihc	categorical_top_value	31	31	0	2	2	Negative	11	0.3548				
20260415T065150Z	any_class_platinum	pr_status_by_ihc	categorical_top_value	31	31	0	2	1	Negative	16	0.5161				
