treatment_groups_descriptive_v1_run_id	treatment_group_v1	field_name	value_summary_type	group_patient_count	non_missing_count	missing_like_count	distinct_non_missing_count	value_rank	value_label	value_count	value_fraction	numeric_min	numeric_median	numeric_max	notes
20260414T215230Z	single_chemotherapy	her2_status_by_ihc	categorical_top_value	231	206	25	4	4	Indeterminate	3	0.0130				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_chemotherapy	ajcc_pathologic_tumor_stage	categorical_top_value	231	229	2	11	1	Stage IIA	85	0.3680				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	single_chemotherapy	ajcc_pathologic_tumor_stage	categorical_top_value	231	229	2	11	2	Stage IIB	48	0.2078				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	single_chemotherapy	ajcc_pathologic_tumor_stage	categorical_top_value	231	229	2	11	3	Stage IIIA	31	0.1342				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	single_chemotherapy	ajcc_pathologic_tumor_stage	categorical_top_value	231	229	2	11	4	Stage IA	21	0.0909				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	single_chemotherapy	ajcc_pathologic_tumor_stage	categorical_top_value	231	229	2	11	5	Stage IIIC	19	0.0823				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	single_chemotherapy	ajcc_pathologic_tumor_stage	categorical_top_value	231	229	2	11	6	Stage I	17	0.0736				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	single_chemotherapy	ajcc_pathologic_tumor_stage	categorical_top_value	231	229	2	11	7	Stage IIIB	3	0.0130				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	single_chemotherapy	ajcc_pathologic_tumor_stage	categorical_top_value	231	229	2	11	8	Stage IV	2	0.0087				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	single_chemotherapy	ajcc_pathologic_tumor_stage	categorical_top_value	231	229	2	11	9	Stage II	1	0.0043				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	single_chemotherapy	ajcc_pathologic_tumor_stage	categorical_top_value	231	229	2	11	10	Stage III	1	0.0043				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	single_chemotherapy	histological_type	categorical_top_value	231	231	0	7	1	Infiltrating Ductal Carcinoma	190	0.8225				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_chemotherapy	histological_type	categorical_top_value	231	231	0	7	2	Infiltrating Lobular Carcinoma	23	0.0996				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_chemotherapy	histological_type	categorical_top_value	231	231	0	7	3	Other, specify	9	0.0390				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_chemotherapy	histological_type	categorical_top_value	231	231	0	7	4	Mixed Histology (please specify)	4	0.0173				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_chemotherapy	histological_type	categorical_top_value	231	231	0	7	5	Medullary Carcinoma	2	0.0087				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_chemotherapy	histological_type	categorical_top_value	231	231	0	7	6	Metaplastic Carcinoma	2	0.0087				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_chemotherapy	histological_type	categorical_top_value	231	231	0	7	7	Infiltrating Carcinoma NOS	1	0.0043				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	age_at_diagnosis	numeric_summary	189	189	0	46					29	68	90	Age summary uses non-missing values only.
20260414T215230Z	single_hormone_therapy	er_status_by_ihc	categorical_top_value	189	179	10	2	1	Positive	177	0.9365				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	er_status_by_ihc	categorical_top_value	189	179	10	2	2	Negative	2	0.0106				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	pr_status_by_ihc	categorical_top_value	189	179	10	2	1	Positive	158	0.8360				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	pr_status_by_ihc	categorical_top_value	189	179	10	2	2	Negative	21	0.1111				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	her2_status_by_ihc	categorical_top_value	189	167	22	4	1	Negative	104	0.5503				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	her2_status_by_ihc	categorical_top_value	189	167	22	4	2	Equivocal	46	0.2434				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	her2_status_by_ihc	categorical_top_value	189	167	22	4	3	Positive	15	0.0794				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	her2_status_by_ihc	categorical_top_value	189	167	22	4	4	Indeterminate	2	0.0106				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	ajcc_pathologic_tumor_stage	categorical_top_value	189	188	1	10	1	Stage IIA	75	0.3968				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	ajcc_pathologic_tumor_stage	categorical_top_value	189	188	1	10	2	Stage IIB	37	0.1958				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	ajcc_pathologic_tumor_stage	categorical_top_value	189	188	1	10	3	Stage I	26	0.1376				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	ajcc_pathologic_tumor_stage	categorical_top_value	189	188	1	10	4	Stage IA	21	0.1111				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	ajcc_pathologic_tumor_stage	categorical_top_value	189	188	1	10	5	Stage IIIA	13	0.0688				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	single_hormone_therapy	ajcc_pathologic_tumor_stage	categorical_top_value	189	188	1	10	6	Stage IIIB	5	0.0265				Showing all distinct non-missing values for this field within the provisional group.
