audit_run_id	parse_run_id	source_run_id	table_name	field_name	source_position	probable_field_group	row_count	non_missing_count	missing_like_count	missing_like_fraction	blank_count	not_available_count	not_applicable_count	unknown_count	not_evaluated_count	discrepancy_count	na_count	n_a_count	null_count	none_count	nan_count	distinct_non_missing_count	example_values_small_sample
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	bcr_patient_uuid	1	identifier / admin	2406	2406	0	0.0	0	0	0	0	0	0	0	0	0	0	0	780	"[""C07B122E-AC50-4DB2-ADD2-5617A5D0E976"", ""9435447e-d65f-408b-863b-6576b1d652dd"", ""8d5fe6e8-d2cc-481f-a6a1-9cb6e7982cde"", ""eff2360e-399a-4167-ab2b-798e27bef739"", ""2d0d7ff4-7866-4ae1-9cf1-a3c7f4cbe48d""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	bcr_patient_barcode	2	identifier / admin	2406	2406	0	0.0	0	0	0	0	0	0	0	0	0	0	0	780	"[""TCGA-GM-A2DA"", ""TCGA-AO-A03N"", ""TCGA-A2-A0EW"", ""TCGA-E2-A107"", ""TCGA-A2-A0CY""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	bcr_drug_barcode	3	identifier / admin	2406	2406	0	0.0	0	0	0	0	0	0	0	0	0	0	0	2406	"[""TCGA-3C-AAAU-D60350"", ""TCGA-3C-AALI-D62900"", ""TCGA-3C-AALJ-D62904"", ""TCGA-3C-AALJ-D65375"", ""TCGA-3C-AALJ-D65377""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	bcr_drug_uuid	4	identifier / admin	2406	2406	0	0.0	0	0	0	0	0	0	0	0	0	0	0	2406	"[""00300D73-B562-4EE9-A8D4-27E5B97AE501"", ""00512901-db10-4833-8adf-5b3734b5d64f"", ""00C007B0-1048-4B35-B0C6-48FD9B881A51"", ""00E33CEE-3545-4F64-BF71-25DC3724D422"", ""00E48087-B371-4EB8-93D4-4F9C4E366C28""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	form_completion_date	5	identifier / admin	2406	2406	0	0.0	0	0	0	0	0	0	0	0	0	0	0	345	"[""2012-12-6"", ""2011-1-10"", ""2010-9-19"", ""2013-8-22"", ""2010-11-18""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	death_days_to	12	follow-up / outcome-like	716	52	664	0.927374	0	0	664	0	0	0	0	0	0	0	0	52	"[""0"", ""1034"", ""1048"", ""1072"", ""1093""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	new_tumor_event_dx_indicator	13	follow-up / outcome-like	716	647	69	0.096369	0	9	0	60	0	0	0	0	0	0	0	2	"[""NO"", ""YES""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	last_contact_days_to	11	follow-up / outcome-like	716	654	62	0.086592	0	62	0	0	0	0	0	0	0	0	0	551	"[""10"", ""0"", ""375"", ""396"", ""304""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	tumor_status	9	follow-up / outcome-like	716	677	39	0.054469	0	18	0	21	0	0	0	0	0	0	0	2	"[""TUMOR FREE"", ""WITH TUMOR""]"
20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	pharmaceutical_tx_adjuvant	8	treatment / drug	716	679	37	0.051676	0	12	0	19	0	6	0	0	0	0	0	2	"[""YES"", ""NO""]"
